
Rk,Name,Age,Tm,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,Pos Summary
633,Chris Rusin*,29,COL,29,30,29,2,5,0,1,0,3,0,0,0,6,.172,.172,.241,.414,2,7,0,0,1,0,0,1
634,Addison Russell,22,CHC,151,598,525,67,125,25,3,21,95,5,1,55,135,.238,.321,.417,.738,97,219,11,12,0,6,6,*6
635,James Russell*,30,PHI,7,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,/1
636,Hyun-Jin Ryu,29,LAD,1,1,1,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,-100,0,0,0,0,0,0,/1
637,Marc Rzepczynski*,30,WSN,14,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1
638,Fernando Salas,31,NYM,17,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1
639,Jeff Samardzija,31,SFG,34,69,64,4,10,5,0,0,9,0,0,1,28,.156,.164,.234,.399,5,15,3,0,2,2,0,1
640,Keyvius Sampson,25,CIN,18,7,7,0,0,0,0,0,0,0,0,0,6,.000,.000,.000,.000,-100,0,0,0,0,0,0,1
641,Hector Sanchez#,26,SDP,26,46,42,3,12,1,0,3,7,0,0,3,8,.286,.348,.524,.872,131,22,0,1,0,0,0,2
642,Domingo Santana,23,MIL,77,281,246,34,63,14,0,11,32,2,3,32,91,.256,.345,.447,.792,109,110,7,2,0,1,0,9/78
643,Luis Sardinas#,23,SDP,34,120,108,13,31,6,1,2,13,3,1,11,23,.287,.353,.417,.770,107,45,0,0,1,0,3,6/4
644,Rob Scahill*,29,TOT,31,2,2,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,-100,0,0,0,0,0,0,1
645,Rob Scahill*,29,PIT,15,2,2,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,-100,0,0,0,0,0,0,1
646,Rob Scahill*,29,MIL,16,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1
647,Scott Schebler*,25,CIN,82,282,257,36,68,12,2,9,40,2,4,19,59,.265,.330,.432,.762,101,111,5,6,0,0,2,987
648,Max Scherzer,31,WSN,34,85,70,4,13,1,0,0,12,0,0,2,30,.186,.208,.200,.408,10,14,1,0,13,0,0,1
649,Ryan Schimpf*,28,SDP,89,330,276,48,60,17,5,20,51,1,1,42,105,.217,.336,.533,.869,130,147,3,9,0,3,3,45/7
650,A.J. Schugel,27,PIT,36,3,2,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,-100,0,0,0,1,0,0,1
Rk,Name,Age,Tm,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,Pos Summary
651,Patrick Schuster,25,PHI,6,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,/1
652,Kyle Schwarber*,23,CHC,2,5,4,0,0,0,0,0,0,0,0,1,2,.000,.200,.000,.200,-39,0,0,0,0,0,0,/7
653,Xavier Scruggs,28,MIA,24,69,62,1,13,3,0,1,5,0,0,5,20,.210,.290,.306,.596,64,19,1,2,0,0,0,3/7
654,Corey Seager*,22,LAD,157,687,627,105,193,40,5,26,72,3,3,54,133,.308,.365,.512,.877,137,321,12,4,0,2,5,*6
655,Rob Segedin,27,LAD,40,83,73,9,17,2,1,2,12,0,0,6,22,.233,.301,.370,.671,83,27,1,2,0,2,0,/3795
656,Jean Segura,26,ARI,153,694,637,102,203,41,7,20,64,33,10,39,101,.319,.368,.499,.867,124,318,6,12,4,2,1,*46
657,Steve Selsky,26,CIN,24,54,51,9,16,2,0,2,7,1,0,2,22,.314,.340,.471,.810,113,24,1,0,1,0,0,9/78
658,Pedro Severino,22,WSN,16,34,28,6,9,2,0,2,4,0,0,5,3,.321,.441,.607,1.048,175,17,0,1,0,0,0,2
659,James Shields,34,SDP,11,19,17,1,3,0,0,0,0,0,0,0,11,.176,.176,.176,.353,-4,3,0,0,2,0,0,1
660,Braden Shipley,24,ARI,14,27,26,2,3,1,0,0,2,1,0,0,10,.115,.115,.154,.269,-30,4,0,0,1,0,0,1
661,Kevin Siegrist*,26,STL,67,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1
662,Shae Simmons,25,ATL,7,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,/1
663,Alfredo Simon,35,CIN,15,19,14,0,1,0,0,0,1,0,0,1,7,.071,.188,.071,.259,-27,1,1,1,3,0,0,1
664,Jake Smith,26,SDP,4,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,/1
665,Joe Smith,32,CHC,16,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1
666,Josh Smith,28,CIN,33,11,11,0,2,1,0,0,0,0,0,0,4,.182,.182,.273,.455,19,3,0,0,0,0,0,1
667,Mallex Smith*,23,ATL,72,215,189,28,45,7,4,3,22,16,8,20,48,.238,.316,.365,.681,83,69,3,2,3,1,0,87/9
668,Will Smith,26,TOT,53,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1
669,Will Smith,26,MIL,27,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1
670,Will Smith,26,SFG,26,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1
671,Josh Smoker*,27,NYM,20,1,1,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,-100,0,0,0,0,0,0,1
672,Brandon Snyder,29,ATL,37,47,46,8,11,5,1,4,9,0,0,1,16,.239,.255,.652,.907,133,30,1,0,0,0,0,/537
673,Miguel Socolovich,29,STL,15,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1
674,Yangervis Solarte#,28,SDP,109,443,405,55,116,26,1,15,71,1,1,30,63,.286,.341,.467,.808,116,189,7,5,0,3,1,54/3
675,Jorge Soler,24,CHC,86,264,227,37,54,9,0,12,31,0,0,31,66,.238,.333,.436,.769,105,99,5,3,0,3,0,7/D9
